学生ID,数学,英语,物理
1,94,60,59
2,59,89,58
3,51,89,77
4,50,67,56
5,70,82,55
6,50,80,99
7,87,100,92
8,50,71,58
9,71,77,83
10,75,50,68
11,86,86,77
12,78,88,77
13,62,97,83
14,94,83,81
15,81,100,97
16,68,96,68
17,90,100,65
18,75,97,61
19,68,72,59
20,96,72,52
21,73,86,100
22,88,97,69
23,52,66,91
24,84,69,70
25,63,67,63
26,51,99,96
27,61,86,90
28,92,77,77
29,100,97,65
30,81,52,97
31,51,54,52
32,97,73,91
33,55,99,100
34,68,57,84
35,62,62,72
36,87,63,84
37,81,57,99
38,73,81,57
39,64,100,54
40,92,97,79
41,98,62,99
42,61,81,93
43,99,84,91
44,80,85,60
45,76,63,80
46,59,71,66
47,81,52,96
48,95,99,89
49,81,88,72
50,80,70,63
51,86,67,69
52,60,68,76
53,83,82,60
54,66,59,100
55,63,88,64
56,79,51,72
57,52,56,59
58,84,55,51
59,86,89,51
60,69,68,96
61,86,77,60
62,81,68,70
63,59,70,83
64,57,67,100
65,58,61,55
66,66,52,83
67,73,75,72
68,78,85,52
69,77,76,63
70,53,73,82
71,67,79,100
72,95,86,78
73,68,70,70
74,89,95,87
75,65,71,78
76,99,53,52
77,70,66,85
78,100,90,58
79,76,88,55
80,72,50,90
81,54,78,52
82,91,85,59
83,64,80,93
84,98,51,96
85,50,83,82
86,74,97,75
87,98,65,62
88,96,70,70
89,64,87,80
90,70,58,92
91,71,100,58
92,56,56,83
93,72,73,63
94,57,78,100
95,75,58,67
96,84,93,63
97,95,58,53
98,93,53,90
99,95,71,84
100,100,86,81
101,97,54,53
102,59,91,54
103,55,71,64
104,88,61,97
105,78,88,71
106,76,76,55
107,53,57,54
108,97,79,67
109,82,72,99
110,70,83,77
111,58,60,69
112,66,99,56
113,83,62,98
114,96,78,50
115,92,73,75
116,55,78,88
117,79,64,90
118,71,92,52
119,82,72,100
120,90,78,54
121,94,93,61
122,52,79,100
123,73,58,89
124,90,92,90
125,88,97,87
126,69,63,52
127,74,64,91
128,60,55,57
129,98,53,88
130,66,78,96
131,64,94,96
132,72,72,51
133,97,87,54
134,63,74,69
135,92,74,77
136,92,51,76
137,63,56,84
138,78,50,85
139,67,75,52
140,76,82,88
141,96,62,88
142,57,84,56
143,81,81,69
144,70,72,97
145,90,80,95
146,96,66,93
147,55,55,90
148,100,63,74
149,55,97,72
150,96,85,57
151,80,90,96
152,60,50,83
153,63,69,71
154,96,75,91
155,68,69,100
156,62,60,70
157,96,90,85
158,62,81,54
159,52,51,95
160,67,100,98
161,82,70,94
162,78,78,89
163,69,56,95
164,90,84,64
165,69,59,89
166,78,84,97
167,65,53,52
168,85,87,85
169,69,86,83
170,64,83,90
171,77,68,76
172,97,57,74
173,83,51,94
174,59,78,71
175,97,60,50
176,57,75,90
177,84,81,87
178,79,85,91
179,52,64,74
180,82,72,75
181,61,67,94
182,98,84,68
183,75,90,80
184,92,81,89
185,88,85,94
186,84,76,52
187,77,52,84
188,79,70,76
189,87,69,86
190,58,95,68
191,50,87,87
192,64,88,53
193,65,87,90
194,68,91,64
195,95,94,79
196,63,79,97
197,77,78,62
198,51,82,81
199,80,63,91
200,66,57,51
201,97,52,74
202,90,88,75
203,57,74,71
204,100,56,51
205,73,56,52
206,68,74,92
207,64,63,76
208,95,65,56
209,53,90,61
210,98,88,81
211,69,70,88
212,95,81,93
213,84,75,90
214,71,88,78
215,65,68,82
216,99,72,59
217,83,98,97
218,92,71,75
219,90,54,87
220,72,88,61
221,54,78,73
222,77,84,58
223,62,68,100
224,52,60,50
225,66,53,83
226,85,75,92
227,91,96,58
228,79,64,61
229,76,84,89
230,70,81,75
231,78,87,85
232,92,74,85
233,63,91,100
234,99,77,97
235,63,62,66
236,95,88,60
237,93,76,79
238,79,55,68
239,88,75,61
240,83,85,71
241,88,76,64
242,74,85,64
243,65,63,94
244,99,71,69
245,76,90,63
246,64,97,63
247,77,57,96
248,71,56,76
249,52,61,55
250,53,72,93
251,76,90,96
252,70,97,73
253,69,67,55
254,82,98,83
255,57,66,100
256,52,58,57
257,52,64,77
258,77,96,75
259,96,55,82
260,66,92,95
261,88,76,61
262,94,84,77
263,56,54,74
264,58,60,52
265,82,93,54
266,78,86,64
267,98,52,92
268,61,84,96
269,92,86,73
270,87,76,52
271,74,55,71
272,91,74,86
273,61,50,88
274,65,88,54
275,50,91,73
276,52,51,91
277,63,96,54
278,93,69,74
279,84,87,58
280,82,92,100
281,80,87,83
282,51,76,91
283,79,77,52
284,86,66,65
285,89,73,95
286,91,66,94
287,97,59,89
288,84,57,59
289,100,61,50
290,87,80,95
291,83,98,68
292,51,95,82
293,67,99,99
294,90,85,77
295,56,97,55
296,53,86,96
297,94,99,56
298,94,51,99
299,97,54,70
300,57,81,86
301,97,72,67
302,79,60,98
303,82,51,50
304,61,69,96
305,70,55,76
306,72,68,73
307,94,84,89
308,90,73,90
309,89,65,90
310,56,51,65
311,59,97,79
312,61,59,74
313,54,75,98
314,74,60,78
